name,call_sites,max_args,distribution
func_0001436C,2,3,3 args x2
func_000143B4,2,3,3 args x2
func_00014288,2,6,6 args x2
func_000147F0,2,3,3 args x1
func_00014B68,2,3,3 args x1
func_0002D07C,2,3,3 args x1; 2 args x1
func_00016BE4,2,3,3 args x1
func_00019290,2,2,2 args x2
func_00019B38,2,1,1 args x2
func_00019364,2,3,3 args x2
func_00019AF8,2,1,1 args x2
func_0001A960,2,7,7 args x2
func_0001A884,2,8,8 args x2
func_0001B904,2,2,2 args x1
func_0001B340,2,5,5 args x2
func_0001B824,2,2,2 args x1
func_0001C358,2,5,4 args x1; 5 args x1
func_0001DBBC,2,5,4 args x1; 5 args x1
func_0001DFE8,2,5,4 args x1; 5 args x1
func_0001EF28,2,5,4 args x1; 5 args x1
func_000225D8,2,3,3 args x1
func_000228C4,2,3,3 args x1; 1 args x1
func_00022A54,2,1,1 args x2
func_00024850,2,4,4 args x2
func_0001B440,2,1,1 args x1
func_0002D8D8,2,2,1 args x1; 2 args x1
func_0002DC9C,2,2,1 args x1; 2 args x1
func_0002DC78,2,1,1 args x1
func_0002E120,2,8,8 args x2
func_0002F77C,2,3,3 args x2
func_0002FB80,2,1,1 args x1
func_000306C8,2,2,2 args x2
func_0002EDA0,2,4,4 args x1
func_0003010C,2,1,1 args x2
func_00030138,2,2,1 args x1; 2 args x1
func_0003027C,2,2,2 args x2
func_000304D4,2,5,5 args x1; 2 args x1
func_000304E4,2,2,1 args x1; 2 args x1
func_000300DC,2,7,7 args x1; 2 args x1
func_0002DDCC,2,8,8 args x2
func_00030CA0,2,2,1 args x1; 2 args x1
func_00030948,2,3,3 args x2
func_0003092C,2,5,5 args x2
func_00037C40,2,2,2 args x2
func_00036808,2,2,2 args x2
func_00037274,2,8,6 args x1; 8 args x1
func_000371E4,2,3,3 args x2
func_000003B8,1,1,1 args x1
func_0000A0B4,1,1,1 args x1
func_00009DA0,1,1,1 args x1
func_0000A1B4,1,2,2 args x1
func_0001375C,1,2,2 args x1
func_0000281C,1,2,2 args x1
func_00014928,1,2,2 args x1
func_00004D28,1,1,1 args x1
func_00005CD8,1,3,3 args x1
func_00004970,1,1,1 args x1
func_00004B04,1,2,2 args x1
func_00013908,1,3,3 args x1
func_000065B8,1,3,3 args x1
func_00005D00,1,2,2 args x1
func_00007DB8,1,1,1 args x1
func_00007F40,1,2,2 args x1
func_00008A00,1,1,1 args x1
func_000096C8,1,1,1 args x1
func_00008FE0,1,1,1 args x1
func_00009938,1,1,1 args x1
func_00013924,1,3,3 args x1
func_00009C74,1,8,8 args x1
func_00009BB4,1,7,7 args x1
func_0001B08C,1,2,2 args x1
func_00005EBC,1,1,1 args x1
func_00019C9C,1,2,2 args x1
func_0000F4D8,1,1,1 args x1
func_00012F1C,1,1,1 args x1
func_000101B8,1,1,1 args x1
func_00017E0C,1,2,2 args x1
func_000076E0,1,1,1 args x1
func_0000A81C,1,6,6 args x1
func_0001A010,1,3,3 args x1
func_00007864,1,1,1 args x1
func_0000BA48,1,3,3 args x1
func_0000BA40,1,1,1 args x1
func_00005FC8,1,1,1 args x1
func_0000B9C0,1,6,6 args x1
func_0000CDA4,1,3,3 args x1
func_0000D0F8,1,3,3 args x1
func_000071F0,1,3,3 args x1
func_00007224,1,1,1 args x1
func_0000C730,1,1,1 args x1
func_00010E18,1,2,2 args x1
func_00016A88,1,2,2 args x1
func_00015578,1,3,3 args x1
func_00006918,1,1,1 args x1
func_00006AE4,1,1,1 args x1
func_00011A60,1,2,2 args x1
func_00001070,1,2,2 args x1
func_0001480C,1,1,1 args x1
func_00003748,1,2,2 args x1
func_000102D4,1,2,2 args x1
func_00007870,1,3,3 args x1
func_00011840,1,1,1 args x1
func_0000D570,1,1,1 args x1
func_000008C0,1,1,1 args x1
func_00014FB0,1,2,2 args x1
func_00015040,1,2,2 args x1
func_0000C8D0,1,4,4 args x1
func_000077B8,1,7,7 args x1
func_0001A004,1,1,1 args x1
func_0001B368,1,1,1 args x1
func_00006750,1,1,1 args x1
func_00012A54,1,3,3 args x1
func_00003AC8,1,2,2 args x1
func_00005E20,1,2,2 args x1
func_00013054,1,2,2 args x1
func_00014670,1,3,3 args x1
func_00013620,1,2,2 args x1
func_00014158,1,4,4 args x1
func_00014430,1,3,3 args x1
func_00014F70,1,3,3 args x1
func_00005F0C,1,1,1 args x1
func_000057C0,1,1,1 args x1
func_000058C8,1,1,1 args x1
func_000058D4,1,1,1 args x1
func_00005950,1,2,2 args x1
func_00005B8C,1,1,1 args x1
func_000154E4,1,3,3 args x1
func_0002E384,1,5,5 args x1
func_0002EB0C,1,1,1 args x1
func_0002EA68,1,2,2 args x1
func_00017DF8,1,4,4 args x1
func_00018E10,1,2,2 args x1
func_00018DF8,1,2,2 args x1
func_00019928,1,4,4 args x1
func_00019488,1,2,2 args x1
func_0001A330,1,8,8 args x1
func_0001A6EC,1,1,1 args x1
func_0001AAF0,1,1,1 args x1
func_0001B55C,1,3,3 args x1
func_0001B398,1,2,2 args x1
func_0001B9F0,1,8,8 args x1
