name,call_sites,max_args,distribution
ehsys_7B1755CF,54,6,1 args x29; 3 args x11; 2 args x8
ehsys_6367AE39,54,3,1 args x38; 3 args x14; 2 args x1
ehsys_5739D1F8,54,3,1 args x52; 3 args x2
ehsys_1D98951B,53,6,2 args x48; 6 args x5
ehsys_8288EEBC,53,6,6 args x53
ehsys_E50B9594,53,4,3 args x43; 4 args x10
ehsys_21F9E97E,52,2,2 args x52
ehsys_C62F9EAC,51,2,2 args x51
ehsys_0D00F3B7,51,2,1 args x50; 2 args x1
ehsys_AD0E1E03,50,4,1 args x35; 2 args x7; 3 args x5
ehsys_878EE1D3,49,2,1 args x25; 2 args x22
ehsys_2FD4863E,49,6,1 args x21; 6 args x5; 2 args x2
ehsys_strcat,48,3,2 args x45; 3 args x3
ehsys_F59F3BD3,48,6,2 args x6; 1 args x3; 3 args x2
field_86220A06,48,4,2 args x40; 3 args x7; 4 args x1
ehsys_249F5AD0,47,6,1 args x27; 2 args x4; 6 args x4
ehsys_F293756B,47,3,3 args x41
field_79E5F8B7,47,2,2 args x47
ehsys_EF9740B0,45,3,1 args x38; 3 args x4; 2 args x3
ehsys_ED818642,45,8,1 args x37; 8 args x4; 2 args x1
ehsys_D2A768F4,43,3,2 args x39; 3 args x4
ehsys_558B2DCB,42,6,1 args x25; 3 args x9; 2 args x3
ehsys_42C464D5,42,1,1 args x42
ehsys_81857D14,42,3,1 args x33; 2 args x1; 3 args x1
ehsys_4AA58320,41,2,1 args x40; 2 args x1
ehsys_AB962AE7,41,7,1 args x31; 7 args x3; 2 args x3
ehsys_9D7372E0,41,2,1 args x31; 2 args x8
ehsys_4B0DABFA,40,4,2 args x36; 3 args x3; 4 args x1
ehsys_78191357,40,3,1 args x30; 2 args x4; 3 args x3
ehsys_A200D82D,40,2,1 args x9; 2 args x1
ehsys_32ED1675,40,3,1 args x30; 2 args x8; 3 args x1
ehsys_3BB2BAC6,38,7,7 args x38
ehsys_C859D5FE,38,3,1 args x34; 3 args x3; 2 args x1
ehsys_8634FBA0,38,1,1 args x17
ehsys_D7AFA174,38,6,1 args x15; 5 args x8; 6 args x5
ehsys_BA5DC138,37,3,2 args x34; 3 args x2; 1 args x1
ehsys_BA0DA4DE,37,3,1 args x3; 3 args x2
ehsys_F203CF01,37,4,1 args x27; 4 args x3; 2 args x1
ehsys_CEA78CA6,37,4,2 args x16; 1 args x16; 4 args x1
ehsys_B4F2178B,36,5,1 args x26; 2 args x4; 5 args x4
ehsys_FDAFCF3A,36,3,3 args x22; 2 args x14
ehsys_strncmp,36,3,3 args x36
ehsys_CD8623A1,36,3,2 args x29; 1 args x3; 3 args x2
ehsys_7448DF81,36,2,1 args x33; 2 args x3
field_689DF8E4,36,1,1 args x2
ehsys_FFA11C10,34,2,2 args x34
ehsys_BB859AB5,34,3,1 args x16; 2 args x14; 3 args x1
ehsys_28F7224B,33,3,1 args x27; 3 args x3; 2 args x1
ehsys_FE91A2EC,33,2,1 args x15; 2 args x5
ehsys_strcmp,32,3,2 args x23; 1 args x7; 3 args x2
ehsys_0941BAC6,32,4,1 args x31; 4 args x1
ehsys_56D1651D,32,2,2 args x32
ehsys_630446E3,32,2,1 args x24; 2 args x1
ehsys_D907D31A,32,4,2 args x28; 4 args x3; 3 args x1
ehsys_572A577B,31,5,5 args x31
ehsys_7B47DFE9,31,6,1 args x14; 6 args x7; 4 args x3
ehsys_8477BA04,31,8,2 args x30; 8 args x1
ehsys_5DF04F49,31,7,1 args x22; 7 args x3; 5 args x3
ehsys_71B237CA,30,5,1 args x21; 5 args x3; 4 args x1
ehsys_006C8EE8,30,3,3 args x27; 1 args x3
ehsys_30FECAEF,30,3,2 args x27; 3 args x3
ehsys_B08EC132,30,1,1 args x9
ehsys_80896C1D,30,8,1 args x22; 2 args x2; 8 args x1
ehsys_3DE5C8DC,29,7,6 args x27; 7 args x2
ehsys_B27BC15D,29,6,1 args x24; 6 args x1; 3 args x1
ehsys_3C1C1F65,29,3,1 args x7; 3 args x5; 2 args x1
ehsys_50B8DF28,29,4,2 args x18; 3 args x3; 4 args x2
ehsys_93517477,29,5,1 args x16; 2 args x5; 3 args x3
ehsys_B401BB25,28,3,1 args x17; 2 args x8; 3 args x1
ehsys_1856E536,28,3,3 args x18; 2 args x10
ehsys_D3890ECB,28,3,3 args x28
ehsys_93EACD81,27,1,1 args x24
ehsys_AA9913C7,27,1,1 args x27
ehsys_CFC58802,27,2,2 args x26; 1 args x1
ehsys_97DD82F2,27,7,6 args x22; 7 args x4; 5 args x1
duel_eng_EEFFFE1B,27,3,1 args x20; 2 args x6; 3 args x1
ehsys_A3B7A6E9,27,2,1 args x3; 2 args x2
ehsys_68D242C5,27,2,1 args x16; 2 args x6
ehsys_89EE81BB,26,3,3 args x26
ehsys_0939B6BE,26,5,5 args x26
ehsys_91EFFDC1,26,3,2 args x21; 1 args x3; 3 args x2
ehsys_3A7E4F65,26,3,3 args x26
ehsys_DCFC7586,26,8,2 args x23; 5 args x2; 8 args x1
ehsys_C3542E68,26,3,1 args x19; 2 args x5; 3 args x1
ehsys_3E24ACE1,25,1,1 args x25
ehsys_BB22B13B,25,3,2 args x23; 3 args x2
ehsys_BE3756D0,25,3,1 args x18; 3 args x4; 2 args x3
ehsys_E47E40E4,25,5,5 args x9; 2 args x1; 1 args x1
ehsys_960D020F,25,2,2 args x25
ehsys_D934BB27,25,6,1 args x19; 5 args x1; 6 args x1
ehsys_A677A57C,25,2,1 args x15; 2 args x5
ehsys_29D1B9D5,24,7,1 args x23; 7 args x1
ehsys_9F25AE2F,24,4,2 args x19; 3 args x4; 4 args x1
ehsys_14BFFB01,24,2,2 args x24
ehsys_C2E59A21,24,3,3 args x24
ehsys_strcasecmp,24,2,2 args x24
ehsys_6786E0EF,24,3,3 args x24
ehsys_82249188,24,3,1 args x21; 3 args x1
ehsys_8CA1052F,24,4,4 args x1
ehsys_914562B0,24,3,1 args x11; 2 args x8; 3 args x4
ehsys_40D6B29D,23,6,6 args x23
ehsys_F17C5C28,23,5,3 args x22; 5 args x1
ehsys_1CBB2C1C,23,2,2 args x23
ehsys_C1E38FF7,23,3,3 args x23
ehsys_FCB00A02,23,4,1 args x21; 4 args x1
ehsys_AB18E04A,23,7,1 args x14; 2 args x7; 7 args x1
ehsys_4D9EA10E,23,3,1 args x16; 2 args x4; 3 args x1
ehsys_sceKernelChangeCurrentThreadAttr,22,3,2 args x20; 3 args x2
ehsys_7B8EF3EC,22,2,2 args x22
ehsys_B693AF8E,22,3,2 args x18; 3 args x4
ehsys_D9E13A6A,22,2,2 args x22
ehsys_D8A0DB10,22,3,1 args x2; 3 args x1
duel_eng_842B5F2E,22,4,4 args x22
duel_eng_BB8B27E0,22,2,1 args x21; 2 args x1
ehsys_A4B2A31B,22,3,1 args x1; 3 args x1
ehsys_4E8B47D4,22,1,1 args x1
ehsys_8CFD5EC1,22,2,1 args x20; 2 args x2
ehsys_C8DF61CD,21,6,4 args x18; 6 args x3
ehsys_5DBE93DB,21,2,1 args x16; 2 args x2
ehsys_06A1D1D8,21,5,1 args x2; 5 args x1
ehsys_B2389187,21,7,2 args x20; 7 args x1
ehsys_B2584E43,21,1,1 args x21
ehsys_735EA15C,21,8,1 args x17; 2 args x1; 3 args x1
duel_eng_3B0C99E7,21,2,1 args x3; 2 args x1
ehsys_2717C28C,20,1,1 args x19
ehsys_101103B3,20,1,1 args x18
ehsys_94A4EC34,20,5,1 args x17; 5 args x1; 3 args x1
ehsys_8F7249A7,20,3,1 args x10; 3 args x5
ehsys_C4FA973E,20,3,2 args x17; 3 args x3
ehsys_767DE7AB,20,3,2 args x18; 3 args x2
ehsys_8CBC1795,20,3,1 args x11; 3 args x4; 2 args x2
ehsys_5F00A362,20,7,2 args x8; 7 args x5; 4 args x4
ehsys_memcmp,20,4,3 args x19; 4 args x1
ehsys_0A67ED6C,20,2,1 args x17; 2 args x1
ehsys_F05B1732,20,3,2 args x9; 1 args x8; 3 args x1
ehsys_B92CF901,20,5,1 args x13; 2 args x2; 3 args x2
ehsys_atoi,20,3,2 args x12; 1 args x7; 3 args x1
ehsys_481242AF,20,3,3 args x20
ehsys_97F24E9A,20,2,2 args x20
ehsys_3765ED01,19,5,2 args x17; 5 args x1; 3 args x1
ehsys_D5D33185,19,2,1 args x15; 2 args x1
ehsys_8B0A8B96,19,2,2 args x19
ehsys_9090346C,19,3,3 args x19
ehsys_D767C29F,19,1,1 args x18
ehsys_E9550159,19,2,1 args x13; 2 args x3
ehsys_96AEAC25,19,2,1 args x17; 2 args x1
ehsys_6B9DF7E8,18,6,6 args x18
ehsys_1FE543F1,18,3,3 args x15; 2 args x3
ehsys_639AE71F,18,3,1 args x11; 2 args x3; 3 args x2
ehsys_67953A3E,18,1,1 args x16
ehsys_8AC7E9E7,18,2,2 args x18
ehsys_96BC2DC8,18,1,1 args x17
ehsys_CFD504DA,18,3,1 args x14; 2 args x1; 3 args x1
ehsys_348F1A33,17,4,2 args x12; 4 args x3; 3 args x2
ehsys_7EBDB800,17,2,2 args x16; 1 args x1
ehsys_65DA0419,17,2,1 args x12; 2 args x3
ehsys_7F9073E5,17,3,2 args x12; 3 args x5
ehsys_6FFA2A28,17,2,2 args x17
ehsys_CA477B34,17,3,2 args x10; 3 args x7
ehsys_49C27DA2,17,3,1 args x9; 2 args x4; 3 args x2
ehsys_B6B6E902,17,1,1 args x15
ehsys_B2FABBDD,17,5,1 args x16; 5 args x1
ehsys_6E42DDCD,17,2,1 args x3; 2 args x1
ehsys_291D6262,16,3,3 args x16
